Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C
15.5813598,104,0.014,19,26,26
15.5913598,139,0.014,19,26,26
15.6013598,129,0.014,19,26,26
15.6113598,130,0.014,19,26,26
15.6213598,126,0.014,19,26,26
15.6313598,128,0.014,19,26,26
15.6413598,119,0.014,19,26,26
15.6513598,135,0.014,19,26,26
15.6613598,123,0.014,19,26,26
15.6713598,132,0.014,19,26,26
15.6802916,132,-0.013,19,26,26
15.6902916,134,-0.013,19,26,26
15.7002916,109,-0.013,19,26,26
15.7102916,128,-0.013,19,26,26
15.7202916,130,-0.013,19,26,26
15.7302916,137,-0.013,19,26,26
15.7402916,119,-0.013,19,26,26
15.7502916,131,-0.013,19,26,26
15.7602916,121,-0.013,19,26,26
15.7702916,130,-0.013,19,26,26
15.8526307,129,-0,19,26,26
15.8626307,137,-0,19,26,26
15.8726307,121,-0,19,26,26
15.8826307,130,-0,19,26,26
15.8926307,121,-0,19,26,26
15.9026307,130,-0,19,26,26
15.9126307,125,-0,19,26,26
15.9226307,137,-0,19,26,26
15.9326307,127,-0,19,26,26
15.9426307,130,-0,19,26,26
16.0632998,131,-0,19,26,26
16.0732998,127,-0,19,26,26
16.0832998,128,-0,19,26,26
16.0932998,119,-0,19,26,26
16.1032998,137,-0,19,26,26
16.1132998,121,-0,19,26,26
16.1232998,134,-0,19,26,26
16.1332998,133,-0,19,26,26
16.1432998,136,-0,19,26,26
16.1532998,110,-0,19,26,26
16.3077846,116,0.006,19,26,26
16.3177846,128,0.006,19,26,26
16.3277846,129,0.006,19,26,26
16.3377846,137,0.006,19,26,26
16.3477846,122,0.006,19,26,26
16.3577846,133,0.006,19,26,26
16.3677846,122,0.006,19,26,26
16.3777846,128,0.006,19,26,26
16.3877846,125,0.006,19,26,26
16.3977846,138,0.006,19,26,26
16.4869845,135,0.002,19,26,26
16.4969845,124,0.002,19,26,26
16.5069845,130,0.002,19,26,26
16.5169845,122,0.002,19,26,26
16.5269845,137,0.002,19,26,26
16.5369845,118,0.002,19,26,26
16.5469845,136,0.002,19,26,26
16.5569845,142,0.002,19,26,26
16.5669845,129,0.002,19,26,26
16.5769845,107,0.002,19,26,26
16.5350167,128,-0.003,19,26,26
16.5450167,131,-0.003,19,26,26
16.5550167,121,-0.003,19,26,26
16.5650167,134,-0.003,19,26,26
16.5750167,122,-0.003,19,26,26
16.5850167,134,-0.003,19,26,26
16.5950167,134,-0.003,19,26,26
16.6050167,136,-0.003,19,26,26
16.6150167,110,-0.003,19,26,26
16.6250167,130,-0.003,19,26,26
16.6154594,131,-0.004,19,26,26
16.6254594,140,-0.004,19,26,26
16.6354594,121,-0.004,19,26,26
16.6454594,133,-0.004,19,26,26
16.6554594,122,-0.004,19,26,26
16.6654594,129,-0.004,19,26,26
16.6754594,135,-0.004,19,26,26
16.6854594,127,-0.004,19,26,26
16.6954594,133,-0.004,19,26,26
16.7054594,116,-0.004,19,26,26
16.8264445,121,0.01,19,26,26
16.8364445,129,0.01,19,26,26
16.8464445,124,0.01,19,26,26
16.8564445,139,0.01,19,26,26
16.8664445,129,0.01,19,26,26
16.8764445,132,0.01,19,26,26
16.8864445,115,0.01,19,26,26
16.8964445,130,0.01,19,26,26
16.9064445,129,0.01,19,26,26
16.9164445,136,0.01,19,26,26
16.9415336,135,-0.005,19,26,26
16.9515336,141,-0.005,19,26,26
16.9615336,130,-0.005,19,26,26
16.9715336,107,-0.005,19,26,26
16.9815336,139,-0.005,19,26,26
16.9915336,131,-0.005,19,26,26
17.0015336,131,-0.005,19,26,26
17.0115336,128,-0.005,19,26,26
17.0215336,131,-0.005,19,26,26
17.0315336,123,-0.005,19,26,26
17.1285505,140,0,19,26,26
17.1385505,123,0,19,26,26
17.1485505,133,0,19,26,26
17.1585505,125,0,19,26,26
17.1685505,132,0,19,26,26
17.1785505,125,0,19,26,26
17.1885505,136,0,19,26,26
17.1985505,127,0,19,26,26
17.2085505,137,0,19,26,26
17.2185505,116,0,19,26,26
17.2120803,128,-0.006,19,26,26
17.2220803,139,-0.006,19,26,26
17.2320803,122,-0.006,19,26,26
17.2420803,135,-0.006,19,26,26
17.2520803,121,-0.006,19,26,26
17.2620803,129,-0.006,19,26,26
17.2720803,127,-0.006,19,26,26
17.2820803,137,-0.006,19,26,26
17.2920803,129,-0.006,19,26,26
17.3020803,132,-0.006,19,26,26
17.3294038,130,0.007,19,26,26
17.3394038,135,0.007,19,26,26
17.3494038,124,0.007,19,26,26
17.3594038,130,0.007,19,26,26
17.3694038,132,0.007,19,26,26
17.3794038,120,0.007,19,26,26
17.3894038,135,0.007,19,26,26
17.3994038,141,0.007,19,26,26
17.4094038,130,0.007,19,26,26
17.4194038,108,0.007,19,26,26
17.5107463,131,-0.003,19,26,26
17.5207463,133,-0.003,19,26,26
17.5307463,138,-0.003,19,26,26
17.5407463,112,-0.003,19,26,26
