Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps
1.22308,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
1.23308,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
1.24308,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
1.25308,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
1.26308,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
1.4203189,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
1.4303189,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
1.4403189,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
1.4503189,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
1.4603189,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.4522478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
21.4622478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
21.4722478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
21.4822478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
21.4922478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
21.5022478,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.5122478,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.5222478,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.5322478,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.5422478,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.5522478,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
21.5622478,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
21.5722478,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
21.5822478,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
21.5922478,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
21.6022478,0,0,19,0,0,0.029,-0.016,-1.001,0.3,-0.6,0
21.6122478,0,0,19,0,0,0.029,-0.016,-1.001,0.3,-0.6,0
21.6222478,0,0,19,0,0,0.029,-0.016,-1.001,0.3,-0.6,0
21.6322478,0,0,19,0,0,0.029,-0.016,-1.001,0.3,-0.6,0
21.6422478,0,0,19,0,0,0.029,-0.016,-1.001,0.3,-0.6,0
21.6522478,0,0,19,0,0,0.028,-0.014,-1.001,0.3,-0.5,0
21.6622478,0,0,19,0,0,0.028,-0.014,-1.001,0.3,-0.5,0
21.6722478,0,0,19,0,0,0.028,-0.014,-1.001,0.3,-0.5,0
21.6822478,0,0,19,0,0,0.028,-0.014,-1.001,0.3,-0.5,0
21.6922478,0,0,19,0,0,0.028,-0.014,-1.001,0.3,-0.5,0
21.7022478,0,0,19,0,0,0.028,-0.016,-1.001,0.3,-0.5,0
21.7122478,0,0,19,0,0,0.028,-0.016,-1.001,0.3,-0.5,0
21.7222478,0,0,19,0,0,0.028,-0.016,-1.001,0.3,-0.5,0
21.7322478,0,0,19,0,0,0.028,-0.016,-1.001,0.3,-0.5,0
21.7422478,0,0,19,0,0,0.028,-0.016,-1.001,0.3,-0.5,0
21.7522478,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.7622478,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.7722478,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.7822478,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.7922478,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.8022478,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.8122478,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.8222478,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.8322478,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.8422478,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
21.8522478,0,0,19,0,0,0.027,-0.014,-1.002,0.3,-0.6,0
21.8622478,0,0,19,0,0,0.027,-0.014,-1.002,0.3,-0.6,0
21.8722478,0,0,19,0,0,0.027,-0.014,-1.002,0.3,-0.6,0
21.8822478,0,0,19,0,0,0.027,-0.014,-1.002,0.3,-0.6,0
21.8922478,0,0,19,0,0,0.027,-0.014,-1.002,0.3,-0.6,0
21.9022478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
21.9122478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
21.9222478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
21.9322478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
21.9422478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
21.9522478,0,0,19,0,0,0.027,-0.015,-1.002,0.3,-0.6,0
21.9622478,0,0,19,0,0,0.027,-0.015,-1.002,0.3,-0.6,0
21.9722478,0,0,19,0,0,0.027,-0.015,-1.002,0.3,-0.6,0
21.9822478,0,0,19,0,0,0.027,-0.015,-1.002,0.3,-0.6,0
21.9922478,0,0,19,0,0,0.027,-0.015,-1.002,0.3,-0.6,0
22.0022478,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
22.0122478,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
22.0222478,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
22.0322478,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
22.0422478,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
22.0522478,0,0.01,19,0,0,0.029,-0.014,-1.002,0.3,-0.6,0
22.0622478,0,0.01,19,0,0,0.029,-0.014,-1.002,0.3,-0.6,0
22.0722478,0,0.01,19,0,0,0.029,-0.014,-1.002,0.3,-0.6,0
22.0822478,0,0.01,19,0,0,0.029,-0.014,-1.002,0.3,-0.6,0
22.0922478,0,0.01,19,0,0,0.029,-0.014,-1.002,0.3,-0.6,0
22.1022478,0,0.01,19,0,0,0.027,-0.016,-1.001,0.3,-0.6,0
22.1122478,0,0.01,19,0,0,0.027,-0.016,-1.001,0.3,-0.6,0
22.1222478,0,0.01,19,0,0,0.027,-0.016,-1.001,0.3,-0.6,0
22.1322478,0,0.01,19,0,0,0.027,-0.016,-1.001,0.3,-0.6,0
22.1422478,0,0.01,19,0,0,0.027,-0.016,-1.001,0.3,-0.6,0
22.1522478,0,0,19,0,0,0.027,-0.013,-1.003,0.3,-0.6,0
22.1622478,0,0,19,0,0,0.027,-0.013,-1.003,0.3,-0.6,0
22.1722478,0,0,19,0,0,0.027,-0.013,-1.003,0.3,-0.6,0
22.1822478,0,0,19,0,0,0.027,-0.013,-1.003,0.3,-0.6,0
22.1922478,0,0,19,0,0,0.027,-0.013,-1.003,0.3,-0.6,0
22.2022478,0,0.01,19,0,0,0.029,-0.016,-1.001,0.4,-0.5,0
22.2122478,0,0.01,19,0,0,0.029,-0.016,-1.001,0.4,-0.5,0
22.2222478,0,0.01,19,0,0,0.029,-0.016,-1.001,0.4,-0.5,0
22.2322478,0,0.01,19,0,0,0.029,-0.016,-1.001,0.4,-0.5,0
22.2422478,0,0.01,19,0,0,0.029,-0.016,-1.001,0.4,-0.5,0
22.2522478,0,0,19,0,0,0.025,-0.01,-1,0.3,-0.5,0
22.2622478,0,0,19,0,0,0.025,-0.01,-1,0.3,-0.5,0
22.2722478,0,0,19,0,0,0.025,-0.01,-1,0.3,-0.5,0
22.2822478,0,0,19,0,0,0.025,-0.01,-1,0.3,-0.5,0
22.2922478,0,0,19,0,0,0.025,-0.01,-1,0.3,-0.5,0
22.3022478,0,0,19,0,0,0.028,-0.013,-1.003,0.3,-0.6,-0.1
22.3122478,0,0,19,0,0,0.028,-0.013,-1.003,0.3,-0.6,-0.1
22.3222478,0,0,19,0,0,0.028,-0.013,-1.003,0.3,-0.6,-0.1
22.3322478,0,0,19,0,0,0.028,-0.013,-1.003,0.3,-0.6,-0.1
22.3422478,0,0,19,0,0,0.028,-0.013,-1.003,0.3,-0.6,-0.1
22.3522478,0,0.01,19,0,0,0.028,-0.018,-1.001,0.3,-0.6,0.1
22.3622478,0,0.01,19,0,0,0.028,-0.018,-1.001,0.3,-0.6,0.1
22.3722478,0,0.01,19,0,0,0.028,-0.018,-1.001,0.3,-0.6,0.1
22.3822478,0,0.01,19,0,0,0.028,-0.018,-1.001,0.3,-0.6,0.1
22.3922478,0,0.01,19,0,0,0.028,-0.018,-1.001,0.3,-0.6,0.1
22.4022478,0,0.01,19,0,0,0.028,-0.011,-1.001,0.3,-0.5,0.1
22.4122478,0,0.01,19,0,0,0.028,-0.011,-1.001,0.3,-0.5,0.1
22.4222478,0,0.01,19,0,0,0.028,-0.011,-1.001,0.3,-0.5,0.1
22.4322478,0,0.01,19,0,0,0.028,-0.011,-1.001,0.3,-0.5,0.1
22.4422478,0,0.01,19,0,0,0.028,-0.011,-1.001,0.3,-0.5,0.1
22.4522478,0,0,19,0,0,0.025,-0.014,-1.002,0.3,-0.6,0
22.4622478,0,0,19,0,0,0.025,-0.014,-1.002,0.3,-0.6,0
22.4722478,0,0,19,0,0,0.025,-0.014,-1.002,0.3,-0.6,0
22.4822478,0,0,19,0,0,0.025,-0.014,-1.002,0.3,-0.6,0
22.4922478,0,0,19,0,0,0.025,-0.014,-1.002,0.3,-0.6,0
22.5022478,0,0,19,0,0,0.03,-0.018,-1.001,0.3,-0.6,0.1
22.5122478,0,0,19,0,0,0.03,-0.018,-1.001,0.3,-0.6,0.1
22.5222478,0,0,19,0,0,0.03,-0.018,-1.001,0.3,-0.6,0.1
22.5322478,0,0,19,0,0,0.03,-0.018,-1.001,0.3,-0.6,0.1
22.5422478,0,0,19,0,0,0.03,-0.018,-1.001,0.3,-0.6,0.1
22.5522478,0,0,19,0,0,0.025,-0.01,-1.002,0.3,-0.6,0
22.5622478,0,0,19,0,0,0.025,-0.01,-1.002,0.3,-0.6,0
22.5722478,0,0,19,0,0,0.025,-0.01,-1.002,0.3,-0.6,0
22.5822478,0,0,19,0,0,0.025,-0.01,-1.002,0.3,-0.6,0
22.5922478,0,0,19,0,0,0.025,-0.01,-1.002,0.3,-0.6,0
22.6022478,0,0.01,19,0,0,0.031,-0.018,-1.001,0.2,-0.6,0.1
22.6122478,0,0.01,19,0,0,0.031,-0.018,-1.001,0.2,-0.6,0.1
22.6222478,0,0.01,19,0,0,0.031,-0.018,-1.001,0.2,-0.6,0.1
22.6322478,0,0.01,19,0,0,0.031,-0.018,-1.001,0.2,-0.6,0.1
22.6422478,0,0.01,19,0,0,0.031,-0.018,-1.001,0.2,-0.6,0.1
22.6522478,0,0,19,0,0,0.026,-0.013,-1,0.3,-0.5,0
22.6622478,0,0,19,0,0,0.026,-0.013,-1,0.3,-0.5,0
22.6722478,0,0,19,0,0,0.026,-0.013,-1,0.3,-0.5,0
22.6822478,0,0,19,0,0,0.026,-0.013,-1,0.3,-0.5,0
22.6922478,0,0,19,0,0,0.026,-0.013,-1,0.3,-0.5,0
22.7022478,0,0,19,0,0,0.029,-0.016,-1.002,0.3,-0.6,0
22.7122478,0,0,19,0,0,0.029,-0.016,-1.002,0.3,-0.6,0
22.7222478,0,0,19,0,0,0.029,-0.016,-1.002,0.3,-0.6,0
22.7322478,0,0,19,0,0,0.029,-0.016,-1.002,0.3,-0.6,0
22.7422478,0,0,19,0,0,0.029,-0.016,-1.002,0.3,-0.6,0
22.7522478,0,0,19,0,0,0.027,-0.014,-1.002,0.3,-0.5,0
22.7622478,0,0,19,0,0,0.027,-0.014,-1.002,0.3,-0.5,0
22.7722478,0,0,19,0,0,0.027,-0.014,-1.002,0.3,-0.5,0
22.7822478,0,0,19,0,0,0.027,-0.014,-1.002,0.3,-0.5,0
22.7922478,0,0,19,0,0,0.027,-0.014,-1.002,0.3,-0.5,0
22.8022478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.5,0
22.8122478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.5,0
22.8222478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.5,0
22.8322478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.5,0
22.8422478,0,0,19,0,0,0.028,-0.014,-1.002,0.3,-0.5,0
22.8522478,0,0,19,0,0,0.028,-0.017,-1.002,0.3,-0.5,0
22.8622478,0,0,19,0,0,0.028,-0.017,-1.002,0.3,-0.5,0
22.8722478,0,0,19,0,0,0.028,-0.017,-1.002,0.3,-0.5,0
22.8822478,0,0,19,0,0,0.028,-0.017,-1.002,0.3,-0.5,0
22.8922478,0,0,19,0,0,0.028,-0.017,-1.002,0.3,-0.5,0
22.9022478,0,0.01,19,0,0,0.029,-0.014,-1.001,0.3,-0.6,0.1
22.9122478,0,0.01,19,0,0,0.029,-0.014,-1.001,0.3,-0.6,0.1
22.9222478,0,0.01,19,0,0,0.029,-0.014,-1.001,0.3,-0.6,0.1
22.9322478,0,0.01,19,0,0,0.029,-0.014,-1.001,0.3,-0.6,0.1
22.9422478,0,0.01,19,0,0,0.029,-0.014,-1.001,0.3,-0.6,0.1
22.9522478,0,0,19,0,0,0.027,-0.013,-1.001,0.3,-0.6,0
22.9622478,0,0,19,0,0,0.027,-0.013,-1.001,0.3,-0.6,0
22.9722478,0,0,19,0,0,0.027,-0.013,-1.001,0.3,-0.6,0
22.9822478,0,0,19,0,0,0.027,-0.013,-1.001,0.3,-0.6,0
22.9922478,0,0,19,0,0,0.027,-0.013,-1.001,0.3,-0.6,0
23.0022478,0,0,19,0,0,0.028,-0.017,-1.001,0.4,-0.6,0
