Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps,Id_A
6.0508657,0,0,18.9,0,0,0.029,-0.014,-1.001,0.1,-0.6,0,0
6.0608657,0,0,18.9,0,0,0.029,-0.014,-1.001,0.1,-0.6,0,0
6.0708657,0,0,18.9,0,0,0.029,-0.014,-1.001,0.1,-0.6,0,0
6.0808657,0,0,18.9,0,0,0.029,-0.014,-1.001,0.1,-0.6,0,0
6.0908657,0,0,18.9,0,0,0.029,-0.014,-1.001,0.1,-0.6,0,0
6.1008657,0,0,18.8,0,0,0.031,-0.013,-1.002,0.1,-0.6,0,0
6.1108657,0,0,18.8,0,0,0.031,-0.013,-1.002,0.1,-0.6,0,0
6.1208657,0,0,18.8,0,0,0.031,-0.013,-1.002,0.1,-0.6,0,0
6.1308657,0,0,18.8,0,0,0.031,-0.013,-1.002,0.1,-0.6,0,0
6.1408657,0,0,18.8,0,0,0.031,-0.013,-1.002,0.1,-0.6,0,0
6.1508657,0,0,18.8,0,0,0.029,-0.014,-1.001,0.1,-0.6,0,0
6.1608657,0,0,18.8,0,0,0.029,-0.014,-1.001,0.1,-0.6,0,0
6.1708657,0,0,18.8,0,0,0.029,-0.014,-1.001,0.1,-0.6,0,0
6.1808657,0,0,18.8,0,0,0.029,-0.014,-1.001,0.1,-0.6,0,0
6.1908657,0,0,18.8,0,0,0.029,-0.014,-1.001,0.1,-0.6,0,0
6.2008657,0,0,18.8,0,0,0.029,-0.015,-1,0.1,-0.6,0,0
6.2108657,0,0,18.8,0,0,0.029,-0.015,-1,0.1,-0.6,0,0
6.2208657,0,0,18.8,0,0,0.029,-0.015,-1,0.1,-0.6,0,0
6.2308657,0,0,18.8,0,0,0.029,-0.015,-1,0.1,-0.6,0,0
6.2408657,0,0,18.8,0,0,0.029,-0.015,-1,0.1,-0.6,0,0
6.2508657,0,0,18.9,0,0,0.03,-0.012,-1.001,0.1,-0.6,0,0
6.2608657,0,0,18.9,0,0,0.03,-0.012,-1.001,0.1,-0.6,0,0
6.2708657,0,0,18.9,0,0,0.03,-0.012,-1.001,0.1,-0.6,0,0
6.2808657,0,0,18.9,0,0,0.03,-0.012,-1.001,0.1,-0.6,0,0
6.2908657,0,0,18.9,0,0,0.03,-0.012,-1.001,0.1,-0.6,0,0
6.3008657,0,0,18.8,0,0,0.03,-0.015,-1.001,0.1,-0.6,0,0
6.3108657,0,0,18.8,0,0,0.03,-0.015,-1.001,0.1,-0.6,0,0
6.3208657,0,0,18.8,0,0,0.03,-0.015,-1.001,0.1,-0.6,0,0
6.3308657,0,0,18.8,0,0,0.03,-0.015,-1.001,0.1,-0.6,0,0
6.3408657,0,0,18.8,0,0,0.03,-0.015,-1.001,0.1,-0.6,0,0
6.3508657,0,0,18.9,0,0,0.029,-0.012,-1.001,0.1,-0.6,0,0
6.3608657,0,0,18.9,0,0,0.029,-0.012,-1.001,0.1,-0.6,0,0
6.3708657,0,0,18.9,0,0,0.029,-0.012,-1.001,0.1,-0.6,0,0
6.3808657,0,0,18.9,0,0,0.029,-0.012,-1.001,0.1,-0.6,0,0
6.3908657,0,0,18.9,0,0,0.029,-0.012,-1.001,0.1,-0.6,0,0
6.4008657,0,0,18.9,0,0,0.03,-0.016,-1,0.1,-0.6,0,0
6.4108657,0,0,18.9,0,0,0.03,-0.016,-1,0.1,-0.6,0,0
6.4208657,0,0,18.9,0,0,0.03,-0.016,-1,0.1,-0.6,0,0
6.4308657,0,0,18.9,0,0,0.03,-0.016,-1,0.1,-0.6,0,0
6.4408657,0,0,18.9,0,0,0.03,-0.016,-1,0.1,-0.6,0,0
6.4508657,0,0,18.8,0,0,0.029,-0.014,-1.001,0.2,-0.6,0,0
6.4608657,0,0,18.8,0,0,0.029,-0.014,-1.001,0.2,-0.6,0,0
